gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Gm47467,12,23,16,3,3,13,16,6,7,27,14,4
Gm5626,11,6,5,15,0,6,10,6,7,9,10,7
Gm47469,41,38,32,29,2,29,43,38,37,37,44,27
Gm47470,0,0,0,0,0,0,0,0,0,0,0,0
Gm46430,114,159,143,83,14,63,181,174,186,255,246,141
Erap1,2807,3129,2794,3022,466,2859,3268,3802,3141,3642,3804,2559
Cast,6196,7306,6356,7646,1220,6941,6776,7759,6840,8671,9076,6294
Gm6296,2,1,6,3,0,2,0,2,2,0,2,0
Hnrnpa1l2.ps,0,0,0,2,0,0,0,0,0,0,1,0
Pcsk1,50,53,70,43,3,10,33,29,26,47,47,24
Gm19095,0,0,0,1,0,0,0,0,0,0,0,0
Gm48234,0,0,0,0,0,0,0,0,0,0,0,0
Gm48235,0,0,0,0,0,0,0,0,0,0,0,0
Gm8278,0,0,0,0,0,0,0,0,0,0,0,0
Gm3926,0,0,0,0,1,0,2,0,0,0,0,0
Gm4149,7,4,5,11,1,11,6,6,5,4,7,7
Mir682,0,0,0,0,0,0,0,0,0,0,0,0
Gm23012,0,0,0,0,0,0,0,0,0,0,0,0
X1700037F03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Ell2,2283,2408,2191,2732,446,2637,2217,2352,1817,2494,2459,2038
Gm48302,43,34,38,50,4,39,47,31,21,50,41,20
Gm23127,0,0,0,0,0,0,0,0,0,0,0,0
Gm8288,1,0,1,0,0,0,0,2,0,0,0,0
Glrx,1148,1355,1174,839,133,717,1059,1016,832,1269,1104,919
Rhobtb3,208,249,241,311,33,210,286,314,212,272,279,295
Gm24163,0,0,0,1,0,0,0,0,0,2,0,0
Gm15528,0,4,1,4,0,2,1,1,1,2,1,2
Gm6311,0,2,6,11,0,2,5,0,2,2,1,0
Gm23319,0,0,0,0,0,0,0,0,0,0,0,0
Spata9,2,0,1,6,3,4,2,2,4,0,2,6
Rfesd,102,121,108,107,12,108,99,108,113,134,121,106
Gm4165,0,0,0,0,0,0,0,0,0,0,0,0
Gpr150,0,0,0,0,0,0,0,0,0,0,0,0
Arsk,102,145,128,139,29,108,179,188,177,191,182,141
Ttc37,1008,1192,1021,1349,197,1140,1364,1345,1335,1657,1718,1176
Gm48639,0,0,0,1,0,0,1,0,4,4,1,0
Fam81b,0,0,0,0,0,0,0,0,0,0,0,2
Gm31219,0,1,0,0,0,0,1,0,1,0,1,0
Gm24025,0,0,0,0,0,0,0,0,0,0,0,0
Mctp1,0,0,0,0,0,0,0,0,0,0,0,0
Gm48078,0,0,0,0,0,1,0,0,0,0,0,0
Gm24519,0,0,0,0,0,0,0,0,0,0,0,0
Gm21959,0,0,0,0,0,0,0,0,0,0,0,0
Gm15740,0,0,0,0,0,2,0,0,0,0,0,0
Gm8185,1,0,2,5,0,3,2,1,0,1,2,0
Slf1,57,76,58,74,21,64,86,110,89,88,99,57
X2210408I21Rik,96,74,86,73,9,87,95,80,96,144,90,100
Gm29844,0,0,0,0,0,0,0,0,0,0,0,0
Gm9634,0,0,0,0,0,0,0,0,0,0,0,0
Atp5c1.ps,0,0,5,1,1,0,0,0,0,0,0,1
Gm26088,0,0,0,0,0,0,0,0,0,0,0,0
Fam172a,409,468,503,432,65,322,398,501,438,596,487,423
Pou5f2,1,2,0,0,0,1,0,1,0,3,3,1
Gm48254,1,0,0,0,0,0,0,0,0,0,0,0
C130051F05Rik,6,4,2,1,0,3,0,1,0,0,4,1
Gm18990,1,0,1,1,0,1,1,0,0,5,0,1
Gm38604,0,0,0,0,0,0,0,0,0,1,0,0
X3110006O06Rik,0,0,0,0,0,0,0,0,0,0,0,0
Nr2f1,0,0,0,0,0,3,0,0,0,0,0,0
A830082K12Rik,0,0,2,0,0,0,1,0,0,0,1,0
Gm5042,0,0,0,0,0,0,0,0,0,0,0,0
Gm46387,0,0,0,0,0,0,0,0,0,0,0,0
Gm3963,0,0,0,0,0,0,0,0,0,0,0,0
Gm6317,0,0,0,0,0,0,0,0,0,0,0,0
Gm48399,0,0,0,0,0,0,0,0,0,0,0,0
Gm31946,0,0,0,0,0,0,0,0,0,0,0,0
Gm32067,0,0,0,0,0,2,3,1,0,0,0,0
Gm48402,0,0,0,0,0,0,0,0,0,0,0,0
Gm8345,1,0,3,0,0,0,0,0,0,1,1,2
Gm25383,0,0,0,0,0,0,0,0,0,0,0,0
Gm29318,0,0,0,0,0,0,0,0,0,0,0,0
Gm38349,0,0,0,0,0,0,0,0,0,0,0,0
Gm48470,0,0,0,0,0,0,0,0,0,0,0,0
Gm24863,0,0,0,0,0,0,0,0,0,0,0,0
Gm48471,0,0,0,0,0,0,0,0,0,0,0,0
Gm28526,0,0,0,0,0,0,0,0,0,0,0,0
Gm19320,0,0,0,0,0,0,0,0,0,0,0,0
Gm5197,0,0,0,0,0,0,0,0,0,0,0,0
Gm24635,0,0,0,0,0,0,0,0,0,0,0,0
Gm8371,0,0,0,0,0,0,0,0,0,0,0,0
Gm46388,0,0,0,0,0,0,0,0,0,0,0,0
Arrdc3,1279,1501,1402,1131,159,1002,783,826,732,1305,994,900
X1700023H06Rik,0,3,2,3,0,1,0,1,2,1,0,0
