EnsemblID,p22074-s001_Cont1_S141.unstranded_count,p22074-s002_Cont2_S142.unstranded_count,p22074-s003_Cont3_S143.unstranded_count,p22074-s004_FAC1_S144.unstranded_count,p22074-s005_FAC2_S145.unstranded_count,p22074-s006_FAC3_S146.unstranded_count,p22074-s007_LiproxposFAC1_S147.unstranded_count,p22074-s008_LiproxposFAC2_S148.unstranded_count,p22074-s009_LiproxposFAC3_S149.unstranded_count,p22074-s010_MTposFAC1_S150.unstranded_count,p22074-s011_MTposFAC2_S151.unstranded_count,p22074-s012_MTposFAC3_S152.unstranded_count
ENSMUSG00000065480,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041872,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041859,361,328,275,334,58,363,381,297,301,411,355,247
ENSMUSG00000099714,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097934,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025931,8,20,28,33,6,77,3,14,30,18,9,29
ENSMUSG00000077314,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041809,1,1,1,1,1,2,0,4,0,0,1,1
ENSMUSG00000041779,562,767,478,537,72,479,540,523,456,757,679,422
ENSMUSG00000099971,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100819,0,4,0,2,0,0,0,0,0,2,2,0
ENSMUSG00000025933,42,70,57,47,10,38,42,57,32,63,64,41
ENSMUSG00000102633,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025934,6339,7498,7733,5867,883,5154,13030,12456,9851,12772,11463,8556
ENSMUSG00000099343,7,4,6,3,1,3,19,8,8,14,7,5
ENSMUSG00000096375,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025936,1,2,0,3,2,0,5,1,5,3,4,3
ENSMUSG00000093963,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028033,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104138,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082935,8,11,14,47,2,9,8,4,7,16,12,4
ENSMUSG00000103748,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099692,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041670,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097642,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102766,2,0,0,1,0,0,0,0,1,1,1,0
ENSMUSG00000065405,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097970,0,0,2,0,0,0,0,0,0,0,3,0
ENSMUSG00000065567,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100775,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026158,172,208,194,188,31,160,129,212,128,227,240,163
ENSMUSG00000097920,0,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000099503,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026156,2,4,2,1,1,4,5,4,2,1,2,0
ENSMUSG00000026155,394,366,496,494,78,484,371,447,260,391,416,280
ENSMUSG00000026154,243,244,347,192,21,196,220,253,144,219,235,192
ENSMUSG00000102495,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026153,1768,1879,1756,2804,403,2221,2429,2516,2381,2632,2554,2045
ENSMUSG00000102398,0,0,0,1,0,2,0,0,0,1,0,2
ENSMUSG00000097670,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026147,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026141,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077463,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099997,5,14,17,8,2,5,8,8,7,5,6,6
ENSMUSG00000100131,23,31,72,87,6,68,35,33,14,21,24,13
ENSMUSG00000067736,6,5,19,33,0,11,13,13,4,9,16,3
ENSMUSG00000101939,94,77,67,73,7,75,48,62,39,45,32,26
ENSMUSG00000101111,76,68,206,220,19,144,84,47,31,32,62,35
ENSMUSG00000100862,25,28,81,113,6,84,42,37,11,20,22,28
ENSMUSG00000102070,52,36,117,176,8,91,43,22,18,15,23,13
ENSMUSG00000101249,195,191,604,725,48,446,209,186,64,151,171,112
ENSMUSG00000073725,2682,2804,2774,3679,569,3392,3743,3766,3179,3760,3611,2905
ENSMUSG00000100808,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100450,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033569,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000080849,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104257,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096866,0,0,0,0,0,0,0,0,0,0,0,0
